question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,gap1_options,gap1_correct,gap1_allow_repeat,gap2_options,gap2_correct,gap2_allow_repeat,gap3_options,gap3_correct,gap3_allow_repeat,gap4_options,gap4_correct,gap4_allow_repeat,gap5_options,gap5_correct,gap5_allow_repeat,enforce_unique_across_gaps,explanation
LIST_CGT_REQ_SPLITYR_004,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_home,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,4,A coming-to-UK split-year case applies where an individual acquires a UK {gap1} and did not have sufficient {gap2} to be UK resident before that acquisition.,2,"[""employment"",""home"",""passport"",""domicile""]",home,Y,"[""ties"",""days"",""returns"",""benefits""]",ties,Y,,,,,,,,,,Y,Your notes state acquiring a UK home with insufficient pre-existing ties can qualify.
LIST_CGT_REQ_SPLITYR_005,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_work,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,5,"Another coming case is arrival to work {gap1} in the UK for at least {gap2}, without sufficient ties for UK residence before arrival.",2,"[""part-time"",""remotely"",""full-time"",""casually""]",full-time,Y,"[""6 months"",""9 months"",""1 year"",""2 years""]",1 year,Y,,,,,,,,,,Y,The notes require full-time UK work for at least one year in this coming case.
LIST_CGT_REQ_SPLITYR_006,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|returning,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,6,A return-to-UK case can apply after a period where {gap1} or their spouse worked {gap2} overseas.,2,"[""the individual"",""the employer"",""the adviser"",""the child""]",the individual,Y,"[""temporarily"",""part-time"",""full-time"",""occasionally""]",full-time,Y,,,,,,,,,,Y,Your notes include return following a period of full-time overseas work by the individual or spouse.
LIST_CGT_REQ_RESDOM_001,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,1,Automatic overseas test (prior UK resident): in UK fewer than {gap1} days and UK resident in one or more previous {gap2} tax years.,2,"[""16"",""30"",""46"",""90""]",16,Y,"[""2"",""3"",""4"",""5""]",3,Y,,,,,,,,,,Y,This test uses <16 days and prior residence in at least one of the previous 3 tax years.
LIST_CGT_REQ_RESDOM_002,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,2,Automatic overseas test (not recently UK resident): in UK fewer than {gap1} days and not resident during previous {gap2} tax years.,2,"[""16"",""46"",""90"",""183""]",46,Y,"[""1"",""2"",""3"",""4""]",3,Y,,,,,,,,,,Y,"For those not resident in the prior three tax years, the threshold is <46 days."
LIST_CGT_REQ_RESDOM_003,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_uk,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,3,"Automatic UK tests include: UK presence of {gap1} days or more, and only home in UK occupied for at least {gap2} days.",2,"[""90"",""120"",""183"",""200""]",183,Y,"[""16"",""30"",""46"",""91""]",30,Y,,,,,,,,,,Y,Automatic UK tests in your notes include 183+ days and the only-home test with at least 30 days occupation.
LIST_CGT_REQ_RESDOM_004,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|ties,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,4,Sufficient ties: accommodation tie requires UK house available for at least {gap1} days; work tie is {gap2}+ UK work days; historic-day tie looks at >{gap3} UK days in either of previous two tax years.,3,"[""30"",""46"",""91"",""183""]",91,Y,"[""30"",""40"",""60"",""90""]",40,Y,"[""60"",""90"",""120"",""183""]",90,Y,,,,,,,Y,"These three sufficient ties thresholds are 91, 40, and >90 days respectively."
LIST_CGT_REQ_RESDOM_005,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,domicile|types,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,5,Domicile types: domicile of {gap1} is inherited from father at birth; domicile of {gap2} applies while under 16 if father’s domicile changes; domicile of {gap3} arises after 16 when old ties are severed and person settles permanently overseas.,3,"[""origin"",""choice"",""dependency"",""deemed""]",origin,Y,"[""origin"",""choice"",""dependency"",""residence""]",dependency,Y,"[""origin"",""choice"",""dependency"",""deemed""]",choice,Y,,,,,,,Y,"The sequence is origin, dependency, then choice."
LIST_CGT_REQ_RESDOM_006,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,deemed_domicile|routes,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,6,"Deemed domicile routes: long-term resident test is UK residence in at least {gap1} of previous {gap2} tax years; formerly UK domiciled resident route requires birth in UK, UK domicile of origin, and UK residence in the {gap3} tax year.",3,"[""10"",""12"",""15"",""17""]",15,Y,"[""15"",""20"",""25"",""30""]",20,Y,"[""current"",""relevant"",""previous"",""next""]",relevant,Y,,,,,,,Y,Long-term route is 15/20; formerly UK domiciled resident route includes UK residence in the relevant tax year.
LIST_IHT_REQ_DEEMDOM_001,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|overview,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,1,"For IHT deemed domicile at transfer time, meeting any {gap1} of {gap2} listed conditions is sufficient.",2,"[""one"",""two"",""all""]",one,Y,"[""two"",""three"",""four""]",three,Y,,,,,,,,,,Y,The framework is any one of three conditions.
LIST_IHT_REQ_DEEMDOM_002,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|three_year,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,2,Condition 1: individual was domiciled in the UK within the {gap1} years immediately {gap2} that time.,2,"[""2"",""3"",""4"",""5""]",3,Y,"[""preceding"",""following"",""ending"",""excluding""]",preceding,Y,,,,,,,,,,Y,The first trigger is UK domicile within the 3 years immediately preceding the transfer time.
LIST_IHT_REQ_DEEMDOM_003,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|fukdi,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,3,"Formerly UK domiciled individual route requires: born in {gap1}, UK domicile of {gap2}, UK resident in relevant year, and UK resident in at least {gap3} of previous {gap4} tax years.",4,"[""UK"",""EU"",""Commonwealth"",""overseas""]",UK,Y,"[""origin"",""choice"",""dependency"",""deemed""]",origin,Y,"[""1"",""2"",""3""]",1,Y,"[""2"",""3"",""4"",""5""]",2,Y,,,,Y,"This route combines birthplace, domicile-origin, current-year residence and a 1-of-2 prior-year residence test."
LIST_IHT_REQ_DEEMDOM_004,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|uk_resident_route,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,4,UK-resident deemed-domicile route uses residence for at least {gap1} of previous {gap2} years and at least {gap3} of the {gap4} years ending with relevant year.,4,"[""12"",""15"",""17""]",15,Y,"[""15"",""20"",""25""]",20,Y,"[""1"",""2"",""3""]",1,Y,"[""2"",""3"",""4"",""5""]",4,Y,,,,Y,This route combines 15/20 with a 1/4 recency condition.
LIST_IHT_REQ_DEEMDOM_005,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|comparison_windows,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,5,"To distinguish IHT from CGT/IT revision, memorise the IHT windows: {gap1} years (domicile lookback), {gap2} of {gap3}, and {gap4} of {gap5}.",5,"[""2"",""3"",""5""]",3,Y,"[""10"",""12"",""15""]",15,Y,"[""15"",""20"",""25""]",20,Y,"[""1"",""2"",""3""]",1,Y,"[""2"",""4"",""6""]",4,Y,Y,"The key IHT memory anchors are 3-year lookback, 15/20, and 1/4."
LIST_IHT_REQ_DEEMDOM_006,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|trigger_time,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,6,"For IHT, deemed domicile is tested at the time a {gap1} is made, not just at tax-year {gap2}.",2,"[""transfer"",""return"",""claim"",""election""]",transfer,Y,"[""start"",""end"",""middle"",""quarter""]",end,Y,,,,,,,,,,Y,The trigger point in the note is the transfer time.
LIST_IHT_CALC_DTR_001,Inheritance tax,calculations,Double taxation relief,cloze_list,3,core,Y,iht:dtr,notes,1,DTR,LIST_IHT_CALC_DTR,1,Double taxation relief is the {gap1} of overseas tax paid and UK HT atrributable to the overseas asset. UK IHT is calculated as {gap2}/(gap3} x {gap4}.,4,"[""higher"",""lower""]",lower,Y,"[""UK IHT before QSR"",""UK IHT after QSR"",""Taxable estate"",""overseas tax paid""]",UK IHT after QSR,Y,"[""Chargeable estate"",""Taxable estate"",""overseas tax paid"",""UK IHT before QSR""] ",Chargeable estate,Y,"[""UK IHT before QSR"",""Chargeable estate"",""Overseas tax paid"",""Value of asset""]",Value of asset,Y,,,,Y,Double taxation relief is the lower of overseas tax paid and UK IHT atrributable to the overseas asset. UK IHT is calculated as UK IHT after QSR/Chargeable estate x value of asset
LIST_IHT_CALC_GIFTRESBEN_001,Inheritance tax,calculations,Valuations,cloze_list,3,core,Y,iht:gifts_reservation_benefit,notes,1,GIFTRESBEN,LIST_IHT_CALC_GIFTRESBEN,1,"To calculate the value of a gift with reservation of benefit (e.g. a house you gift but still live in) perform two calculations: 
1. Include in the {gap1} calculation at {gap2} value.
2. As a {gap3} at time of transfer, or release of benefit. 
Include the {gap4] as the value and calculate remaining IHT",4,"[""lifetime tax on lifetime gifts"",""death tax on lifetime gifts"",""death tax on death estate"",""RNRB""]",death tax on death estate,Y,"[""market"",""probate"",""transfer"",""value after exemptions""] ",probate,Y,"[""PET"",""CLT""]",PET,Y,"[""lower"",""higher""]",higher,Y,,,,Y,"Work out which raises the higher IHT tax liability - that's what HMRC wants. If it is treated as a PET, it will be payable by the beneficiary in addition to the IHT on the death estate"
LIST_ITNIC_CALC_LEASES_001,Income tax & NIC,calculations,Lease premiums,cloze_list,3,core,Y,lease_premium,notes,1,LEASES,LIST_ITNIC_CALC_LEASES,1,"For a short lease premium, the deductible amount *for the trader* is calculated as {gap1} ÷ {gap2} × {gap3}.",3,"[""years of lease"",""rental income assessment (amount taxed on landlord)""]",rental income assessment (amount taxed on landlord),Y,"[""years of lease"",""rental income assessment (amount taxed on landlord)""]",years of lease,Y,"[""months/12"",""months x 12""]",months/12,Y,,,,,,,Y,Use Premium ÷ number of years × n/12 to time-apportion the deduction.
LIST_ITNIC_CALC_LEASES_002,Income tax & NIC,calculations,Lease premiums,cloze_list,3,core,Y,lease_premium,notes,1,LEASES,LIST_ITNIC_CALC_LEASES,2,"Tenants often pay annual rent and a one off premium. For short, >50 years leases, part of that premium is treated as rent received in advance. Complete the formula for assessing the total rental income assessment on the landlord: Rental income assessment = Premium − ({gap1} × ({gap2}) × premium).",2,"[""20%"",""2%""]",0.02,Y,"[""years − 1"",""years""]",years − 1,Y,,,,,,,,,,Y,The lease premium calculation uses a 2% reduction for each year after year 1.
LIST_ITNIC_DEF_BADGES_001,Income tax & NIC,definitions,Badges of trade,cloze_list,3,core,Y,badges;mapping,assistant_generated,1,BADGES,LIST_ITNIC_DEF_BADGES,1,Match each purpose to the correct badge: (1) intention to make a profit = {gap1}; (2) repeated and systematic transactions = {gap2}; (3) borrowing to fund purchase implies trade = {gap3}; (4) short time between purchase and sale implies trade = {gap4}.,4,"[""method of acquisition"",""profit-seeking motive"",""source of finance""]",profit-seeking motive,Y,"[""supplementary work and marketing"",""number of transactions"",""interval between purchase and sale""]",number of transactions,Y,"[""profit-seeking motive"",""existence of similar trading transactions or interests"",""source of finance""]",source of finance,Y,"[""method of acquisition"",""interval of time between purchase and sale"",""number of transactions""]",interval of time between purchase and sale,Y,,,,Y,"These badges respectively test profit intention, frequency/system, funding method, and speed of resale."
LIST_ITNIC_DEF_BADGES_002,Income tax & NIC,definitions,Badges of trade,cloze_list,3,core,Y,badges;mapping,assistant_generated,1,BADGES,LIST_ITNIC_DEF_BADGES,2,Complete the badge-purpose mapping: improving an asset and finding purchasers = {gap1}; similar to pre-existing trade activities = {gap2}; gift or inheritance points away from trade = {gap3}.,3,"[""number of transactions"",""profit-seeking motive"",""supplementary work and marketing""]",supplementary work and marketing,Y,"[""source of finance"",""number of transactions"",""profit-seeking motive"",""interval of time between purchase and sale""]",existence of similar trading transactions or interests,Y,"[""profit-seeking motive"",""number of transactions"",""method of acquisition""]",method of acquisition,Y,,,,,,,Y,Supplementary work/marketing and similarity to existing trade point toward trade; gift/inheritance under method of acquisition points away from trade.
LIST_CGT_REQ_PAYMENT_001,Capital gains,requirements,Payment ,cloze_list,3,core,Y,poa,written,1,PAYMENT,LIST_CGT_REQ_PAYMENT,1,Jack is disposing of a residential property. A {gap1} needs to be made within {gap2) of completion of the disposal. Majority of residential disposals are covered by {gap3} so this really impacts rental properties and second homes,3,"[""payment"", ""disposal"",""payment on account"",""claim""]",payment on account,Y,"[""30"",""60"",""90"",""1 year""]",60,Y,"[""BADR"",""letting relief"",""Private Residence Relief"",""Incorporation relief""]",Private Residence Relief,Y,,,,,,,Y,A return and payment on account are due within 60 days of completion of the disposal.
LIST_CGT_REQ_DEATH_001,Capital gains,requirements,Death,cloze_list,3,core,Y,death,written,1,DEATH,LIST_CGT_REQ_DEATH,1,Losses in excess of gains arising in the tax year that a person dies can be carried back {gap1} years on a {gap2} basis and are set off {gap3} the AEA,3,"[""3"",""4""]",3,Y,"""[""FIFO"",""LIFO""]",LIFO,Y,"[""before"",""after""]",after,Y,,,,,,,Y,Three years on a LIFO basis. Carried back losses are set off after AEA.
LIST_CGT_REQ_SMALLPARTDISPOSAL_001,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,SMALLPARTDISPOSAL,LIST_CGT_REQ_SMALLPARTDISPOSAL,1,"Small part disposals mean the disposal can be ignored and the proceeds deducted from cost. There are three cases: small land disposals, small part disposals and damaged assets. The criteria for small land disposals are {gap1} from sales of land and buildings in the tax year must be {gap2} than {gap3} and proceeds are {gap4} than {gap5} of market value. ",5,"[""aggregate proceeds"", ""disaggregated proceeds"", ""costs""]",aggregate proceeds,Y,"[""more"", ""less""]",less,Y,"[""200,000"",""£20,000"",""£2000""]",20000,Y,"[""more"", ""less""]",less,Y,"[""2%"",""20%"",""5%""]",20000,Y,Y,We call this the 20:20 rule. A claim must be made by the first anniversary of 31 Jan following end of the tax year.
LIST_CGT_REQ_SMALLPARTDISPOSAL_002,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,SMALLPARTDISPOSAL,LIST_CGT_REQ_SMALLPARTDISPOSAL,2,"Small part disposals mean the disposal can be ignored and the proceeds deducted from cost. There are three cases: small land disposals, small part disposals and damaged assets. The criteria for small part disposals are procceds must be {gap1} than {gap2} or {gap3}. Common examples are {gap4} and sale of rights issue - mil paid. This relief is {gap5}.",5,"[""more"", ""less""]",less,Y,"[""£1000"", ""£2000"", ""£3000""]",3000,Y,"[""5%"",""10%"",""15%"",""20%""]",0.05,Y,"[""Takeovers share component"", ""Takeovers cash component""]",Takeovers cash component,Y,"[""claimable"",""automatic""]",automatic,Y,Y,
LIST_CGT_REQ_SMALLPARTDISPOSAL_003,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,SMALLPARTDISPOSAL,LIST_CGT_REQ_SMALLPARTDISPOSAL,3,"Small part disposals mean the disposal can be ignored and the proceeds deducted from cost. There are three cases: small land disposals, small part disposals and damaged assets. The criteria for damaged asset part disposals are proceeds are {gap1} used to restore asset, proceeds are partly unused and the unused portion is {gap2} than {gap3} or {gap4}, or compensation relieved is also under this limit.",4,"[""wholly"",""partly"",""not""]",wholly,Y,"[""more"", ""less""]",less,Y,"[""£1000"", ""£2000"", ""£3000""]",3000,Y,"[""5%"",""10%"",""15%"",""20%""]",0.05,Y,"[""2%"",""20%"",""5%""]",20000,Y,Y,
LIST_CGT_REQ_SMALLPARTDISPOSAL_004,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,SMALLPARTDISPOSAL,LIST_CGT_REQ_SMALLPARTDISPOSAL,4,Buying and selling assets to connected persons takes place at {gap1} of asset. Losses from sales to connected persons can only be relieved against {gap2} gains to the same connected person,2,"[""net book value"",""tax write down value"",""market value""]",market value,Y,"[""current"",""current and past"",""future"",""current and future""]",current and future,Y,,,,,,,,,,Y,
LIST_CGT_REQ_BADR_001,Capital gains,requirements,BADR and goodwill,cloze_list,4,core,Y,BADR_and_goodwill,written,2,BADR,LIST_CGT_REQ_BADR,1,"The general rule is that goodwill {gap1} eleigible for BADR if it is disposed by an individual to a close company where the individual and close company are related (i.e. a shareholder, so a sole trader incorporating). The restriction is relaxed if the individual holds {gap2} than 5% of the shares or holds {gap3} than and sells all their shares to another company within {gap3} days. ",3,"[""is"",""is not""]",is not,Y,"[""more"", ""less""]",less,Y,"[""more"", ""less""]",more,Y,"[""15"",""28"",""30"",""31""]",28,Y,,,,Y,
LIST_CGT_REQ_BADR_002,Capital gains,requirements,BADR and EMI,cloze_list,5,core,Y,BADR_and_EMI,written,3,BADR,LIST_CGT_REQ_BADR,2,Shares acquired under EMI schemes are exempt from the {gap1} and {gap2} BADR requirements? ,2,"[""5% ownership personal company"", ""trading company"", ""held for 2 years"",""worked there""]",5% ownership,Y,"[""5% ownership personal company"", ""trading company"", ""held for 2 years"",""worked there""]",held for 2 years,Y,,,,,,,,,,Y,The ownership period is calculated from date of grant
LIST_CGT_REQ_BADR_003,Capital gains,requirements,BADR associated disposals,cloze_list,6,core,Y,BADR_associated_disposals,written,4,BADR,LIST_CGT_REQ_BADR,3,"BADR is also available on associated disposals when they sell a separate asset at the same time as the sale of a qualifying company. Jon, in addition to seeling his business, also has a shop let out to the business for 20% market rent. {gap1}% of the shop is available for BADR and {gap2}% will be taxed as ""other""?",2,"[""20%"",""80%""]",0.8,Y,"[""20%"",""80%""]",0.2,Y,,,,,,,,,,Y,
LIST_CGT_FILE_BADR_001,Capital gains,filing_requirements,BADR claim,cloze_list,7,core,Y,BADR_claim,written,5,BADR,LIST_CGT_FILE_BADR,1,A claim for BADR must be made by {gap1},1,"[""last day of the tax year"",""31 Jan following tax year of disposal"",""31 Jan 1 year anniversary"",""31 Jan 2 year anniversary""]",31 Jan following tax year of disposal,Y,,,,,,,,,,,,,Y,
LIST_CGT_REQ_INCORP_001,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;conditions,assistant_generated,1,INCORP,LIST_CGT_REQ_INCORP,1,"For incorporation relief to apply, complete the conditions: transfer of {gap1}; transfer as a {gap2}; and consideration wholly or partly in {gap3}.",3,"[""all assets (except cash)"", ""selected chargeable assets"", ""only trading stock""]",all assets (except cash),Y,"[""going concern"", ""piecemeal disposal"", ""liquidation""]",going concern,Y,"[""shares"", ""cash only"", ""loan notes only""]",shares,Y,,,,,,,Y,"All three conditions are required: all assets except cash, transfer as a going concern, and share consideration (at least in part)."
LIST_CGT_REQ_INCORP_002,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;conditions,assistant_generated,1,INCORP,LIST_CGT_REQ_INCORP,2,Identify the two true condition statements: (1) cash may be retained while {gap1} must transfer; (2) business must transfer as a {gap2}; (3) consideration must be entirely cash = false.,2,"[""all other assets"", ""no assets"", ""only goodwill""]",all other assets,Y,"[""going concern"", ""capital reduction"", ""cessation after transfer""]",going concern,Y,,,,,,,,,,Y,"Cash is excluded from the all-assets condition, but the rest of the business assets must transfer and the transfer must be as a going concern."
