question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,mcq_n,ab_n,list_n,pf_n
MCQ_FR_FILE_TAXDEAD_017,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_018,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_019,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_020,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_021,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_022,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_023,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_024,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_025,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_026,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_027,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_028,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_029,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_030,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_031,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_032,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_033,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_034,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_035,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_036,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_037,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_038,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_039,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_040,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_041,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_042,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_043,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_044,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_045,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_046,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_047,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_048,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_049,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_050,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_051,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_052,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_053,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_054,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_055,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_056,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_001,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,eis|seis|vct,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_002,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,eis|conditions,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_003,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,eis|withdrawal,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_004,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,eis|cgt,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_005,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,seis|limits,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_006,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,seis|criteria,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_007,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,vct|relief,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_008,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,vct|cgt,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_009,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,ordering|reducers,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_010,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,timing|reinvestment,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_011,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,timing|seis,user_notes,1,122,168,199,199
AB_ITNIC_REQ_INVSCHEME_012,Income tax & NIC,requirements,Tax efficient investments,cloze_ab,3,0,Y,eis|claims,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_001,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|limits,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_002,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|term,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_003,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|tax,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_004,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|completion,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_005,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|disposal,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_006,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|shares,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_007,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|eligibility,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_008,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|population,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_009,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|window,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_010,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|cap,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_011,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|disposal,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_012,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|purpose,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_013,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|company,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_014,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|company2,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_015,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|employee,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_016,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|ownership,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_017,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|sharetype,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_018,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|limits,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_019,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|interactions,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_020,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|targets,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_021,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|discount,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_022,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|nic|listed,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_023,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|badr,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_024,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|structure,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_025,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|eligibility,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_026,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|company,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_027,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|free,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_028,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|partnership,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_029,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|matching,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_030,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|dividends,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_031,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit5,user_notes,1,122,168,199,199
